公告,#genre#
广东卫视超清,http://183.17.238.99:8888/udp/239.77.0.166:5146 
广东卫视超清,http:///udp/239.10.0.45:1025 
广东卫视超清,http://120.234.49.38:7000/udp/239.20.0.99:3004 
广东卫视超清,http://120.234.5.29:6000/udp/239.20.0.99:3004 
广东卫视超清,http://120.234.49.37:7000/udp/239.20.0.99:3004 
经济科教高清,http://43.136.119.99/zb0.php?id=239.77.0.85:5146 
经济科教高清,http://mryx.fun:1025/udp/239.10.0.112:1025 
经济科教高清,http://mryx.fun:1025/udp/239.10.0.201:1025 
经济科教高清,http://113.65.95.163:10000/udp/239.77.0.85:5146 
经济科教高清,http://183.17.238.99:8888/udp/239.77.0.85:5146 
经济科教高清,http:///udp/239.10.0.112:1025 
经济科教高清,http:///udp/239.10.0.46:1025 
经济科教高清,http://120.234.49.38:7000/udp/239.20.0.102:2002 
经济科教高清,http://120.234.5.29:6000/udp/239.20.0.102:2002 
经济科教高清,http://120.234.49.37:7000/udp/239.20.0.102:2002 
广东体育,http://116.5.239.233:8000/rtp/239.77.0.168:5146 
广东体育,http://116.5.239.233:8000/rtp/239.77.0.112:5146 
广东体育,http://116.5.239.233:8000/rtp/239.77.1.97:5146 
广东体育,http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0 
广东体育,http://lzjzyh.xyz:8888/rtp/239.20.0.114:2026 
广东体育,mitv://135.148.104.228:19806/95d8daecca5748ba879dc56358503f84 
广东珠江,http://121.13.85.136:8000/rtp/239.77.0.1:5146 
广东珠江,http://121.13.85.136:8000/rtp/239.77.0.114:5146 
广东珠江,http://116.5.239.233:8000/rtp/239.77.0.1:5146 
广东珠江,http://121.13.85.136:8000/rtp/239.77.1.94:5146 
广东珠江,http://116.5.239.233:8000/rtp/239.77.1.94:5146 
广东珠江,http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0 
广东珠江,http://lzjzyh.xyz:8888/rtp/239.20.0.111:2020 
广东珠江IPV6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011655/1.m3u8 
广东珠江IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8 
广东珠江IPV6,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000003000000033/index.m3u8?stbId=3&livemode=1&hlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000033&IASHttpSessionId=OTT19019320240419154124000281&yang-1989 
广东珠江频道,http://43.136.119.99/douyin.php?id=gdtvzjpd 
广东新闻,http://121.13.85.136:8000/rtp/239.77.0.173:5146 
广东新闻,http://116.5.239.233:8000/rtp/239.77.0.173:5146 
广东新闻,http://121.13.85.136:8000/rtp/239.77.0.4:5146 
广东新闻,http://116.5.239.233:8000/rtp/239.77.0.4:5146 
广东新闻,http://183.237.246.14:32/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0 
广东新闻,http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0 
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8 
广东新闻,http://lzjzyh.xyz:8888/rtp/239.20.0.112:2022 
广东体育超清,http://43.136.119.99/zb0.php?id=239.77.0.168:5146 
广东体育超清,http://lzjzyh.xyz:8888/rtp/239.20.0.97:3012 
广东体育超清,http://113.65.95.163:10000/udp/239.77.0.168:5146 
广东体育超清,http://183.17.238.99:8888/udp/239.77.0.168:5146 
广东体育超清,http:///udp/239.10.0.47:1025 
广东体育超清,http://120.234.49.38:7000/udp/239.20.0.97:3012 
广东体育超清,http://120.234.5.29:6000/udp/239.20.0.97:3012 
广东体育超清,http://120.234.49.37:7000/udp/239.20.0.97:3012 
大湾区卫视,http://121.13.85.136:8000/rtp/239.77.0.215:5146 
大湾区卫视,http://enlen.vip:4022/rtp/239.200.201.146:8136 
大湾区卫视,http://121.13.85.136:8000/rtp/239.77.1.12:5146 
大湾区卫视,http://116.5.239.233:8000/rtp/239.77.0.215:5146 
大湾区卫视,http://116.5.239.233:8000/rtp/239.77.1.12:5146 
大湾区卫视,http://lzjzyh.xyz:8888/rtp/239.20.0.125:2048 
广东移动高清,http://mryx.fun:1025/udp/239.10.0.143:1025 
广东移动高清,http:///udp/239.10.0.143:1025 
广州综合高清,http://43.136.119.99/zb0.php?id=239.253.43.71:5146 
